jul 18/20:18:26.188 DEBUG2 : 		

StartSession()

jul 18/20:18:26.188 INFO   : Debug Log(info): Loading the CMSIS-DAP driver
jul 18/20:18:26.188 DEBUG2 : 		-> ConnectToHardware()
jul 18/20:18:26.188 DEBUG2 : 		-> CreateJetTerminal()
jul 18/20:18:26.188 DEBUG2 : 		<- CreateJetTerminal()
jul 18/20:18:26.188 DEBUG2 : 		-> AcquireSigAPIPtr()
jul 18/20:18:26.188 DEBUG2 : 		  SigAPISetPath('C:\Program Files\IAR Systems\Embedded Workbench 9.40.1\arm\bin\jet\bin')
jul 18/20:18:26.190 DEBUG2 : 		<- AcquireSigAPIPtr()
jul 18/20:18:26.190 DEBUG2 : 		-> CreateSigProbe()
jul 18/20:18:26.191 DEBUG2 : 		  SigProbe version: 1.24
jul 18/20:18:26.191 DEBUG2 : 		<- CreateSigProbe()
jul 18/20:18:26.191 DEBUG2 : 		-> SigProbeInit()
jul 18/20:18:26.200 DEBUG2 : 		<- SigProbeInit()
jul 18/20:18:26.200 INFO   : Debug Log(info): Probe: CMSIS-DAP probe SW module ver 1.24

jul 18/20:18:26.200 INFO   : Probe: CMSIS-DAP probe SW module ver 1.24

jul 18/20:18:26.200 DEBUG2 : 		-> ConnectToProbe()
jul 18/20:18:26.200 DEBUG2 : 		  ISigProbe::EnumScan()
jul 18/20:18:26.206 DEBUG2 : 		  scanning finished: found 1 probes
jul 18/20:18:26.206 DEBUG2 : 		    connection Serial No: CMSIS-DAP v1:3130708163008E06
jul 18/20:18:26.214 DEBUG2 : 		    connection found probes: 
jul 18/20:18:26.216 INFO   : Debug Log(info): Probe: Connecting to CMSIS-DAP v1:3130708163008E06 firmware v.2.1.0

jul 18/20:18:26.216 INFO   : Probe: Connecting to CMSIS-DAP v1:3130708163008E06 firmware v.2.1.0

jul 18/20:18:26.216 DEBUG2 : 		<- ConnectToProbe()
jul 18/20:18:26.216 DEBUG2 : 		-> CreateSigEmus()
jul 18/20:18:26.216 DEBUG2 : 		  ISigAPI::CreateInstance('ISigEmu', 'EARM', '')
jul 18/20:18:26.218 DEBUG2 : 		Core 0: sigEmu->LinkAttach(ISigProbe)
jul 18/20:18:26.218 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Emulator', 'cmsisdap')
jul 18/20:18:26.218 DEBUG2 : 		  core 0: IsigEmu::ParamSet('Processor', 'Cortex-M7')
jul 18/20:18:26.218 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagHeader', 'ARM-SWD')
jul 18/20:18:26.218 DEBUG2 : 		  core 0: IsigEmu::ParamSet('CoreSightSWJ', 'SWD')
jul 18/20:18:26.218 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JTagSpeed', '25000')
jul 18/20:18:26.218 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BoardCfg', '-auto')
jul 18/20:18:26.218 DEBUG2 : 		  core 0: IsigEmu::ParamSet('JtagInitDelay', '200,r:300')
jul 18/20:18:26.218 DEBUG2 : 		  core 0: IsigEmu::ParamSet('BigEndian', '0')
jul 18/20:18:26.218 DEBUG2 : 		  ISigEmu::LinkAttach('SigTerminalLog'...)
