Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary
0,HS,117,2:56.507.228,1.866 us,64 B,K,03,02,Output Report,00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,118,2:56.507.228,1.866 us,64 B,,03,02,   OUT txn,00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,119,2:56.507.228,66 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,120,2:56.507.228,1.133 us,67 B,,03,02,      DATA1 packet,4B 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C D0,
2,HS,121,2:56.507.229,50 ns,1 B,,03,02,      ACK packet,D2,
0,HS,122,2:56.000.665,506.688.750 ms,64 B,K,03,04,Input Report,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,123,2:56.000.665,506.688.750 ms,64 B,,03,04,   IN txn   [4053 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,124,2:56.000.665,506.562.233 ms,,,03,04,      [4053 IN-NAK],,
2,HS,125,2:56.507.352,83 ns,3 B,,03,04,      IN packet,69 03 02,
2,HS,126,2:56.507.352,1.133 us,67 B,,03,04,      DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BF D0,
2,HS,127,2:56.507.354,50 ns,1 B,,03,04,      ACK packet,D2,
0,HS,128,2:56.507.603,1.883 us,64 B,K,03,02,Output Report,00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
1,HS,129,2:56.507.603,1.883 us,64 B,,03,02,   OUT txn,00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,
2,HS,130,2:56.507.603,83 ns,3 B,,03,02,      OUT packet,E1 03 79,
2,HS,131,2:56.507.603,1.150 us,67 B,,03,02,      DATA0 packet,C3 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7C D0,
2,HS,132,2:56.507.605,33 ns,1 B,,03,02,      ACK packet,D2,
