Record,Data
Output Report,00 fe
Input Report,00 01 01 00 00 00
Output Report,00 04
Input Report,00 06 32 2e 31 2e 30 00
Output Report,00 09
Input Report,00 12 76 31 2e 33 2e 31 2d 30 2d 67 64 30 39 36 35 37 35 00
Output Report,00 ff
Input Report,00 02 fc 01 2e 33
Output Report,00 f0
Input Report,00 01 03
Output Report,00 07
Input Report,00 00
Output Report,00 08
Input Report,00 00
Output Report,00 05
Input Report,00 00
Output Report,00 06
Input Report,00 00
Output Report,11 40 78 7d 01
Input Report,11 00
Output Report,02 01
Input Report,02 01
Output Report,11 40 78 7d 01
Input Report,11 00
Output Report,04 02 50 00 00 00
Input Report,04 00
Output Report,13 00
Input Report,13 00
Output Report,12 33 ff ff ff ff ff ff ff
Input Report,12 00
Output Report,12 10 9e e7
Input Report,12 00
Output Report,12 33 ff ff ff ff ff ff ff
Input Report,12 00
Output Report,12 08 00
Input Report,12 00
Output Report,06 00 01 00 02
Input Report,06 01 00 01 77 24 a0 5b
Output Report,05 00 04 00 1e 00 00 00 08 00 00 00 00 04 00 0f 00 50 06
Input Report,05 04 01 00 0f 00 f8
Output Report,05 00 02 08 f0 00 00 00 0b
Input Report,05 02 01 03 d0 0f e0
Output Report,06 00 01 00 0f
Input Report,06 01 00 01 01 00 77 74
Output Report,05 00 02 08 00 00 00 00 03
Input Report,05 02 01 42 00 80 43
Output Report,05 00 02 08 f0 00 00 00 07
Input Report,05 02 01 00 00 00 00
Output Report,05 00 03 08 00 00 00 00 01 42 00 80 4f 03
Input Report,05 03 01 42 00 80 4f
Output Report,05 00 02 08 f0 00 00 00 0b
Input Report,05 02 01 03 d0 0f e0
Output Report,05 00 05 08 00 00 00 00 01 42 00 80 43 01 12 00 00 03 05 e4 df 0f e0 0f
Input Report,05 05 01 04 00 00 00
Output Report,05 00 02 05 e8 df 0f e0 0f
Input Report,05 02 01 1a 00 00 00
Output Report,05 00 02 08 f0 00 00 00 0f
Input Report,05 02 01 01 00 77 74
Output Report,05 00 02 08 f0 00 00 01 0f
Input Report,05 02 01 00 00 00 00
Output Report,05 00 02 08 f0 00 00 02 0f
Input Report,05 02 01 00 00 00 00
Output Report,05 00 02 08 f0 00 00 03 0f
Input Report,05 02 01 00 00 00 00
Output Report,05 00 02 08 f0 00 00 00 0f
Input Report,05 02 01 01 00 77 74
Output Report,05 00 02 08 00 00 00 00 03
Input Report,05 02 01 52 00 80 03
Output Report,05 00 02 08 f0 00 00 00 07
Input Report,05 02 01 00 00 00 00
Output Report,05 00 03 08 00 00 00 00 01 52 00 80 4f 03
Input Report,05 03 01 52 00 80 4f
Output Report,05 00 02 08 f0 00 00 00 0b
Input Report,05 02 01 03 d0 0f e0
Output Report,05 00 05 08 00 00 00 00 01 52 00 80 03 01 12 00 00 03 05 fc ed 00 e0 0f
Input Report,05 05 01 00 00 00 00
Output Report,05 00 02 05 fc ed 00 e0 0d 00 00 00 01
Input Report,05 02 01
Output Report,06 00 01 00 03
Input Report,06 01 00 01 52 00 80 03
Output Report,05 00 0d 05 d0 df 0f e0 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f 0f
Input Report,05 0d 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 00 00 00 04 00 00 00 1a 00 00 00 00 00 00 00 0d 00 00 00 10 00 00 00 05 00 00 00 b1 00 00 00
Output Report,05 00 0a 05 00 d0 0f e0 0f 0f 0f 0f 0f 0f 0f 0f 0f
